strategy_id,year,global_contribution,m2_contribution,cash_yield_contribution,other_market_contribution,risk_timing_contribution,m2_selection_contribution,interaction_contribution,switching_contribution,cost_contribution,reconciliation_error,attribution_basis,policy_id,switch_mode,mechanism_attribution_method,strategy_switches,months_risk_score_0,months_risk_score_1,months_risk_score_2,months_risk_score_3,months_R1_BROAD_RISK_ON,months_R2_LEADERSHIP_RISK_ON,months_R3_ISOLATED_LEADERSHIP,months_R4_CAPITAL_PRESERVATION
M2_TOP7_CASH0_75_CASH25,2024,0.0,0.07533971741987232,0.01237301242439948,1.1206313654810174e-15,,,,,-0.012929240281485677,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,12,0,0,0,0,12,0,0
M2_TOP7_CASH0_75_CASH25,2025,0.0,0.3285612969816127,0.010213602303643345,-1.9081958235744878e-16,,,,,-0.0133428035453802,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,1,3,1,0,8,4,0
M2_TOP7_CASH0_75_CASH25,2026,0.0,0.12325914497211274,0.005845637738079498,-4.683753385137379e-16,,,,,-0.00724909904583193,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,1,0,0,0,8,0,0
GLOBAL_90_M2_10,2017,0.04964858470747545,0.004691238368517678,0.0,-7.381248390281314e-16,,,,,-0.0014581482045241678,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_90_M2_10,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,11,0,0,0,1,10,0,0
GLOBAL_90_M2_10,2018,-0.024479383465344954,-0.007216998958906034,0.0,2.194425197110661e-16,,,,,-0.0020739598271477533,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_90_M2_10,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,2,1,2,1,8,1,2
GLOBAL_90_M2_10,2019,0.1935856217535245,0.017117580573345368,0.0,4.683753385137379e-16,,,,,-0.0026248403501346607,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_90_M2_10,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,9,1,2,0,1,9,2,0
GLOBAL_90_M2_10,2020,0.12821178655552598,0.030223554799541322,0.0,-6.522560269672795e-16,,,,,-0.0023120624019006275,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_90_M2_10,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,2,4,4,2,0,6,5,1
GLOBAL_90_M2_10,2021,0.19783005008211002,0.02195823147871592,0.0,3.642919299551295e-16,,,,,-0.0023639664792676207,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_90_M2_10,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,12,0,0,0,0,12,0,0
GLOBAL_90_M2_10,2022,-0.06450608470754046,-0.012488885837609964,0.0,-1.826663820203578e-15,,,,,-0.0024998824166957423,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_90_M2_10,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,0,6,5,1,2,4,4,2
GLOBAL_90_M2_10,2023,0.15168120095951493,0.01754447646020758,0.0,-2.3245294578089215e-16,,,,,-0.002269637251735457,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,GLOBAL_90_M2_10,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,5,0,0,2,10,0,0
