policy_id,window_id,cost_scenario,immediate_cagr,hysteresis_cagr,immediate_mdd,hysteresis_mdd,immediate_ulcer,hysteresis_ulcer,immediate_switches,hysteresis_switches,false_switches_avoided,reentry_delay_cost,status
POLICY_4_DEFENSIVE_REGIME_STRATEGY,LATEST_THREE_YEARS,DOUBLE,0.1746817620572334,0.16053399005618973,-0.11183213841684214,-0.11184474806164357,0.03600663034817725,0.03748855371771806,4.222456647398844,3.377965317919075,,-0.014147772001043668,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_5_HIGHER_ALPHA_DIAGNOSTIC,FULL_COMMON_HISTORY,BASE,0.08262009764328848,0.07541687854798029,-0.16316682555008488,-0.17229108186732778,0.06775172233933854,0.06827528722290835,4.328018063583815,3.4835267341040463,,-0.007203219095308189,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_5_HIGHER_ALPHA_DIAGNOSTIC,FULL_COMMON_HISTORY,DOUBLE,0.07252497476978648,0.06663253318899276,-0.17135721508021307,-0.18897269328136812,0.07382708131703274,0.07482397425726343,4.328018063583815,3.4835267341040463,,-0.005892441580793717,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_5_HIGHER_ALPHA_DIAGNOSTIC,PRE_2020,BASE,0.01598560604449295,0.005423031404057754,-0.1427561604805211,-0.16502561507627955,0.05675129228083848,0.06846755105200202,4.328018063583815,3.4835267341040463,,-0.010562574640435196,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_5_HIGHER_ALPHA_DIAGNOSTIC,PRE_2020,DOUBLE,0.006787474782181224,-0.002365178371324661,-0.14796486486269966,-0.17038518197157304,0.062114684294157445,0.07421944452714709,4.328018063583815,3.4835267341040463,,-0.009152653153505885,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_5_HIGHER_ALPHA_DIAGNOSTIC,POST_2020,BASE,0.11067398108495774,0.10505698849122758,-0.16316682555008488,-0.16317049208086376,0.07160501188554953,0.06656228274281753,4.328018063583815,3.4835267341040463,,-0.0056169925937301635,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_5_HIGHER_ALPHA_DIAGNOSTIC,POST_2020,DOUBLE,0.10030027243070827,0.09594475140730441,-0.17135721508021307,-0.1642603001531906,0.07741069726713035,0.07039328743593515,4.328018063583815,3.4835267341040463,,-0.004355521023403863,HYSTERESIS_RETAINS_95PCT
POLICY_5_HIGHER_ALPHA_DIAGNOSTIC,LATEST_FIVE_YEARS,BASE,0.10776934128376348,0.10472227005081258,-0.16077959375599304,-0.13762979552068433,0.0739889462547695,0.06639338764736993,4.328018063583815,3.4835267341040463,,-0.003047071232950893,HYSTERESIS_RETAINS_95PCT
POLICY_5_HIGHER_ALPHA_DIAGNOSTIC,LATEST_FIVE_YEARS,DOUBLE,0.09672237699358788,0.09528438212534196,-0.17135721508021295,-0.14329260722405834,0.08086304415006529,0.07086693077216583,4.328018063583815,3.4835267341040463,,-0.0014379948682459176,HYSTERESIS_RETAINS_95PCT
POLICY_5_HIGHER_ALPHA_DIAGNOSTIC,LATEST_THREE_YEARS,BASE,0.21723644940511222,0.20409399070463863,-0.11879824380802195,-0.11880358796036006,0.035295929210421406,0.03584569366159937,4.328018063583815,3.4835267341040463,,-0.013142458700473592,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
