module_id,exit_event_id,family,review_date,execution_date,action_type,from_weight,to_weight,risky_weight_reduced,counterfactual_end_date,reentry_review_date,xlon_sessions_until_reentry_or_cutoff,frozen_baseline_switch_review_date,frozen_baseline_switch_execution_proxy_date,selected_asset_return_if_held,actual_cash_return_on_reduced_capital,avoided_downside,foregone_upside,incremental_cost,net_exit_value,whipsaw_within_42_sessions,same_close_execution,warning
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_006,GLOBAL_SEMICONDUCTORS,2021-12-24,2021-12-29,RECOVERED_ABOVE_EMA21,0.75,1.0,0.0,2022-02-01,2023-03-31,23,2022-01-31,2022-02-01,-0.12042397911717695,0.00018144512266204949,0.0,0.0,0.0004955346212679786,-0.0004955346212679786,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_007,GLOBAL_SEMICONDUCTORS,2022-01-07,2022-01-10,ABS_BELOW_EMA50,1.0,0.0,1.0,2022-02-01,2023-03-31,16,2022-01-31,2022-02-01,-0.05117287408959148,0.00011804473417331707,0.0512909188237648,0.0,0.0020177295090116547,0.04927318931475314,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_008,GLOBAL_OIL_GAS,2022-01-31,2022-02-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2022-08-01,2022-07-29,124,2022-08-31,2022-09-01,0.19776589049716642,0.00402061538273335,0.0,0.0,0.002017763257833006,-0.002017763257833006,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_009,GLOBAL_OIL_GAS,2022-06-17,2022-06-20,ABS_BELOW_EMA50,1.0,0.0,1.0,2022-08-01,2022-07-29,30,2022-08-31,2022-09-01,0.02864477773273899,0.0013623619380036533,0.0,0.027282415794735337,0.002015285980198648,-0.029297701774933984,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_010,GLOBAL_OIL_GAS,2022-07-29,2022-08-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2022-09-01,2022-10-31,22,2022-08-31,2022-09-01,0.12741363457244126,0.0013839415398630983,0.0,0.0,0.0020152960093268286,-0.0020152960093268286,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_011,GLOBAL_OIL_GAS,2022-08-05,2022-08-08,ABS_BELOW_EMA50,1.0,0.0,1.0,2022-09-01,2022-10-31,17,2022-08-31,2022-09-01,0.13321890678637405,0.0011026303160823758,0.0,0.13211627647029167,0.0020154058187406856,-0.13413168228903236,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_012,GLOBAL_INFRASTRUCTURE,2022-08-31,2022-09-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2022-10-03,,21,2022-09-30,2022-10-03,-0.07661078372924779,0.001618652171676782,0.0,0.0,0.0020154199279400595,-0.0020154199279400595,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_013,GLOBAL_INFRASTRUCTURE,2022-09-16,2022-09-20,ABS_BELOW_EMA21,1.0,0.75,0.25,2022-10-03,,9,2022-09-30,2022-10-03,-0.06119885945948733,0.0007447284087882533,0.015485896967068896,0.0,0.0005157089560027257,0.014970188011066171,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_014,GLOBAL_OIL_GAS,2022-09-30,2022-10-03,ABS_BELOW_EMA50,0.0,0.0,0.0,2022-11-01,2022-10-31,21,2022-11-30,2022-12-01,0.13851271085768646,0.0017193296109017098,0.0,0.0,0.0014921283809553212,-0.0014921283809553212,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_015,GLOBAL_OIL_GAS,2022-10-31,2022-11-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2022-12-01,2026-03-31,22,2022-11-30,2022-12-01,-0.06782136894824697,0.002334517747101472,0.0,0.0,0.002016466252807798,-0.002016466252807798,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
