signal_id,signal_family,registry_class,universe_id,cohort_id,frequency_id,authorised_family_count,historical_eligibility_warning,date_pair_count,mean_rank_autocorrelation,median_rank_autocorrelation,mean_signal_autocorrelation,average_absolute_rank_change,mean_top_bucket_membership_turnover,mean_top_bucket_duration_observations,median_top_bucket_duration_observations,top_bucket_duration_run_count,status
ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.5887917662480825,0.573391496741082,0.6570082195226521,0.09351558235949427,0.7711566725455614,1.6705882352941177,1.0,85,TESTED
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8385380479637139,0.9999999999999999,0.8701427225560912,0.036016926737067245,0.22964576074332171,6.140625,2.0,64,TESTED
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.7139182123042697,0.7679892323626116,0.7590053101686081,0.0630275849881113,0.4754464285714286,3.0714285714285716,2.5,28,TESTED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.746342396432973,0.7952897602684296,0.7998460579105164,0.05779950895419602,0.4694342452195855,2.9792746113989637,2.0,193,TESTED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.5748486910722076,0.5584949644499012,0.6257746800578943,0.10030210326518617,0.7805343996774016,1.65,1.0,100,TESTED
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8303399292864923,0.9990666369886781,0.8675939614163981,0.03908844538235639,0.24628984385081945,5.835820895522388,1.0,67,TESTED
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.7000275725952052,0.7679892323626116,0.7462409502429429,0.06738655934708565,0.47842261904761907,3.0357142857142856,2.0,28,TESTED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.7876963398680187,0.8960739030023095,0.8240016932136831,0.04492954222462419,0.36591435185185184,4.1020408163265305,2.0,98,TESTED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.6276984415121921,0.6190476190476191,0.6975725655651802,0.08040726817042608,0.5263151927437641,2.4705882352941178,1.0,34,TESTED
RISK_ADJ_MOM_126_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8990581084617291,0.9296084325227563,0.9347956952661882,0.0697317789556106,0.281859234984235,5.280254777070064,2.0,314,TESTED
RISK_ADJ_MOM_126_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.739719241935531,0.7881875895311552,0.769308051716405,0.1349447903852049,0.5634990190184994,2.302857142857143,1.0,175,TESTED
RISK_ADJ_MOM_252_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9380795595662101,0.9734896136970328,0.9727742334771122,0.0444123038034045,0.1764957264957265,8.433962264150944,2.5,106,TESTED
RISK_ADJ_MOM_252_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.8585471297972055,0.8999999999999999,0.9005889125319511,0.09224767045819678,0.3625396825396826,3.849056603773585,2.0,53,TESTED
