research_group_id,formation_horizon_sessions,global_parent_state,forward_horizon_sessions,family_observation_count,date_observation_count,mean_forward_relative_global,global_relative_hac_p_value,mean_forward_relative_parent,parent_relative_hac_p_value,parent_mapping_frozen_before_a3r1,warning
INDUSTRY,21,BOTH_STRONG,126,1363,527,-0.006356721597789814,0.700426575583075,0.0029119914921971347,0.8407977473761175,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,GLOBAL_ONLY,5,313,263,0.0020189917073696723,0.22769824773924774,0.0021707125074770816,0.06852105472965568,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,GLOBAL_ONLY,10,312,262,0.0022971000771074435,0.45072107904277847,0.002892187478164693,0.1420393729715616,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,GLOBAL_ONLY,21,308,258,-0.0002943614531393388,0.9488227857927092,2.8315513417293725e-05,0.9936920170205051,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,GLOBAL_ONLY,42,307,257,-0.002481470190098152,0.654481498023791,-0.002179994277425483,0.6276946259119267,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,GLOBAL_ONLY,63,305,258,-0.0049747342063397575,0.4738061938105118,-0.0038676359512623878,0.5028670614415369,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,GLOBAL_ONLY,126,297,251,-0.02045985784169653,0.16142765453722274,-0.007002236264782924,0.5193317703577147,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,NEITHER_STRONG,5,1627,603,0.0008794378808155896,0.41204432744646824,0.001338727790571616,0.05969034346339672,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,NEITHER_STRONG,10,1633,598,0.0017811849672227744,0.31410857756825106,0.001654674093909176,0.13265462953751983,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,NEITHER_STRONG,21,1619,596,-0.0008197543694748421,0.8084531929103076,0.0004197667317180496,0.8349651088320774,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,NEITHER_STRONG,42,1607,593,-0.003518067533939488,0.5080117869843603,-0.0010108506093647728,0.7418389925758284,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
