analysis_context_id,robustness_variant_id,score_column,forward_horizon_sessions,observation_count,mean_top3_advantage_vs_global,median_top3_advantage_vs_global,positive_frequency,hac_t_statistic,hac_p_value,neighbourhood_not_optimisation_grid,warning
COUNTRY,RS63_CENTRAL_63,RANK_RS_63,10,276,0.0026210289497256684,0.00217406398094544,0.5434782608695652,1.2062653290580372,0.22771520150280422,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS63_CENTRAL_63,RANK_RS_63,21,236,0.00577041368078047,0.00655705565173581,0.5720338983050848,1.0685372762873169,0.28527822499040156,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS63_CENTRAL_63,RANK_RS_63,42,196,0.011718433466710044,0.009863138435488472,0.5867346938775511,1.0094241257526053,0.3127712728960764,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS63_CENTRAL_63,RANK_RS_63,63,159,0.015932613844604263,0.012133630065013445,0.5471698113207547,0.8580710864896989,0.39085321177809584,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS63_NEIGHBOUR_75,RANK_RS_75,10,241,0.0026203425602293836,0.001991525312546427,0.5394190871369294,1.0857091758641784,0.2776076797853777,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS63_NEIGHBOUR_75,RANK_RS_75,21,213,0.004116373819071573,0.004236496636017328,0.5539906103286385,0.6924372674156217,0.4886627688664751,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS63_NEIGHBOUR_75,RANK_RS_75,42,176,0.008963587588762461,0.011742957541072463,0.5909090909090909,0.7060868594312527,0.48013412303069414,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS63_NEIGHBOUR_75,RANK_RS_75,63,143,0.006773684898607173,0.004770330604681128,0.5244755244755245,0.36059729195119344,0.7184005140193919,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,MH_RECENCY_CENTRAL,MH_LEVEL_RECENCY_TILT,10,83,-0.006878972451911508,-0.0008327907265516243,0.4939759036144578,-1.9373387488324243,0.05270394857787627,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,MH_RECENCY_CENTRAL,MH_LEVEL_RECENCY_TILT,21,80,-0.012739732499221395,-0.0021315748500593257,0.45,-1.686725082134873,0.09165622684036505,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
