module_id,date,portfolio_value,invested_fraction,cash_fraction,cash_value,cash_return_contribution,cumulative_cash_return_contribution,data_valid,warning
VOL_TARGET_0_125,2026-02-12,1.5601459678477279,0.2634358501568836,0.7365641498431165,1.1491475884389277,7.30583867354469e-05,0.08273458192688603,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-13,1.569058239278823,0.2675461134925957,0.7324538865074043,1.1492628055162386,7.38501907419768e-05,0.082808432117628,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-16,1.5654159163071044,0.26562106048453865,0.7343789395154614,1.1496084805182356,0.00022030731131808336,0.08302873942894609,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-17,1.5543882562270288,0.26033682296102706,0.7396631770389729,1.1497237559529532,7.363885438798023e-05,0.08310237828333407,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-18,1.5708660643188734,0.2680222273148865,0.7319777726851134,1.149839042946759,7.416872415502876e-05,0.0831765470074891,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-19,1.5806581256994277,0.27248383072759275,0.7275161692724073,1.1499543445381508,7.340001417735137e-05,0.08324994702166645,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-20,1.5849960219050083,0.2744021822391421,0.7255978177608579,1.1500696546539149,7.295069938859857e-05,0.08332289772105506,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-23,1.6080971235880162,0.28461055479764474,0.7153894452023553,1.1504157090751341,0.0002183314130992853,0.08354122913415434,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-24,1.6081538450928894,0.28456404769994115,0.7154359523000589,1.1505310776090327,7.174226743294221e-05,0.08361297140158727,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-25,1.6258046807966549,0.2922603402332249,0.7077396597667751,1.150646451634255,7.174315167312269e-05,0.08368471455326039,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-26,1.625040354877143,0.29185645901259977,0.7081435409874002,1.1507618311501215,7.096763665981176e-05,0.0837556821899202,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-27,1.640579944993799,0.2984936478438468,0.7015063521561532,1.1508772526331423,7.102684107159949e-05,0.0838267090309918,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-02,1.6333281082293862,0.23633221337979246,0.7636677866202075,1.2473200612361062,0.00021099891906231898,0.08403770795005412,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-03,1.6078726220889115,0.22416421490374866,0.7758357850962513,1.2474451180931188,7.656566759764669e-05,0.08411427361765177,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-04,1.6103915164948588,0.22530004403447934,0.7746999559655205,1.247570236915815,7.78163773531563e-05,0.08419208999500492,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-05,1.590944061647365,0.21575154790315726,0.7842484520968427,1.2476954177196098,7.773314905882089e-05,0.08426982314406374,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-06,1.5905998938418373,0.21550314286668612,0.7844968571333139,1.247820617675504,7.869538528248276e-05,0.08434851852934622,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-09,1.5791005548394872,0.20955237510887825,0.7904476248911217,1.2481962830371252,0.0002361784148707491,0.08458469694421697,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-10,1.6034920952406453,0.2214981826989088,0.7785018173010911,1.2483215101727767,7.930282543930852e-05,0.08466399976965627,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-11,1.5871425199191398,0.213399724593869,0.7866002754061311,1.2484467432771762,7.81002318447332e-05,0.08474210000150101,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-12,1.5862820965858453,0.2128941031799018,0.7871058968200981,1.2485719922428673,7.891475662657312e-05,0.08482101475812757,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-13,1.5695101121096298,0.20440318444369776,0.7955968155563022,1.2486972471778364,7.896132424280138e-05,0.08489997608237038,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-16,1.5608741110871356,0.19976050707595397,0.8002394929240461,1.2490731071746406,0.00023947599566531176,0.0851394520780357,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-17,1.5660216381427519,0.20231089484526515,0.7976891051547349,1.2491983991830438,8.027041227296754e-05,0.08521972249030867,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-18,1.5513149247577738,0.1946678993924675,0.8053321006075325,1.2493237070589942,8.001669510713345e-05,0.0852997391854158,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-19,1.5244046819460104,0.18036918798352425,0.8196308120164758,1.249449047305126,8.079613244966195e-05,0.08538053531786545,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-20,1.5203995918657696,0.1781276447253104,0.8218723552746896,1.249574393525397,8.222634170266023e-05,0.0854627616595681,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-23,1.5249998870783372,0.1803603465965633,0.8196396534034367,1.2499503788851685,0.0002472937784139864,0.08571005543798209,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-24,1.5303821364854722,0.18316106836219187,0.8168389316378081,1.2500757093643793,8.218392687945076e-05,0.08579223936486154,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-25,1.540927443834929,0.18866974729265734,0.8113302527073426,1.2502010524102725,8.190310309098932e-05,0.08587414246795252,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-26,1.526220791397634,0.1807696315754408,0.8192303684245592,1.250326421233906,8.135932949675916e-05,0.08595550179744928,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-27,1.535592730904201,0.18568785155412793,0.8143121484458721,1.2504518158404638,8.216020071576603e-05,0.08603766199816504,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-30,1.539442331440527,0.1874797325003976,0.8125202674996024,1.2508280949422685,0.0002450383452799668,0.086282700343445,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-03-31,1.5476878353281966,0.1917274866400504,0.8082725133599497,1.2509535365573414,8.148510178715428e-05,0.08636418544523215,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-04-01,1.5688342234829793,0.44574114409623156,0.5542588559037683,0.8695402618103529,8.10911337018757e-05,0.08644527657893403,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-04-02,1.576749381172321,0.4484681507395219,0.551531849260478,0.8696275020182846,5.560830241064109e-05,0.08650088488134466,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
